Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Alom Kuti Colony 2 No. 3 No.;;;;;;;;1;
Alom Duti Colony;;;;;;;;1;
Los Membarer Colony;;;;;;;;1;
Alom Duti Colony;;;;;;;;1;
Haji Abdur Nur Colony;;;;;;;;1;
jakir Sotto Colony;;;;;;;;1;
Keyamot Ali Sodagor Bari;;;;;;;;1;
Khal Par Uttor Pash Sonlogno;;;;;;;;1;
Anayat Ali Sottodagor Bari;;;;;;;;1;
Khal Par Munshe Para;;;;;;;;1;
Purbo Rampur;;;;;;;;1;
Kader Kerani Road;;;;;;;;1;
Boro Pukur Par;;;;;;;;1;
Borof Kol Road Sonlogno;;;;;;;;1;
Hafej Membarer Bari;;;;;;;;1;
Eid Gha Kacha Rasta;;;;;;;;1;
Sofek Islamer Bari;;;;;;;;1;
Monaf Membarer Bari;;;;;;;;1;
Kuddus (Sotto) Ar Bari;;;;;;;;1;
Atakub Ali School Sonlogno;;;;;;;;1;
Hasan Sha Majar;;;;;;;;1;
Hasan Shan Majar Poscjim Pashe;;;;;;;;1;
Foyej Comisonar Ar Alaka;;;;;;;;1;
Sofe Hajir Bari;;;;;;;;1;
YakubComadarer Bari;;;;;;;;1;
Ketab Masjeed Sonlogno;;;;;;;;1;
Dopa Para;;;;;;;;1;
Fokir Golli;;;;;;;;1;
Hajar Deger Par Dopa Par;;;;;;;;1;
Amin Contactor Road;;;;;;;;1;
1 No. Panir Kol;;;;;;;;1;
Burir Mar Colony;;;;;;;;1;
Peskar Bari;;;;;;;;1;
Sofe Colony;;;;;;;;1;
Vanga Colony;;;;;;;;1;
Chowdory Bari;;;;;;;;1;
Poschim Para;;;;;;;;1;
Hindu Bari;;;;;;;;1;
Ashak Chairman Bari;;;;;;;;1;
Masjeed Colony;;;;;;;;1;
Oche Monser Bari;;;;;;;;1;
Contactar Bari;;;;;;;;1;
Burir Mar Colony;;;;;;;;1;
Kali Bari;;;;;;;;1;
Kacha Bazar Bosoty;;;;;;;;1;
Omor Jahan Masjeed Bosoty;;;;;;;;1;
Chowdory O Khan Bari Bosoty;;;;;;;;1;
Abdula Bari;;;;;;;;1;
Mohsen Colony;;;;;;;;1;
Samsur Nahar Colony;;;;;;;;1;
Ahomed Colony;;;;;;;;1;
1 No. Goli;;;;;;;;1;
Nuj Miya 2 No. Goli;;;;;;;;1;
3 No. Goli;;;;;;;;1;
4 No. Goli;;;;;;;;1;
Nur Muhammad Colony;;;;;;;;1;
Sakir Baber Colony;;;;;;;;1;
Tal Companir Colony;;;;;;;;1;
UnusColony;;;;;;;;1;
Bemol Docotr Ar Selim Colony;;;;;;;;1;
Sha Alom  O Babul Colony;;;;;;;;1;
Mofej Colony O Monoyara Colony;;;;;;;;1;
Hossain Colony;;;;;;;;1;
Mahbub Colony;;;;;;;;1;
Bokku O Dulal Colony;;;;;;;;1;
Esa Colony;;;;;;;;1;
Moumin o Dulal Babu Colony;;;;;;;;1;
Shebakhola Colony;;;;;;;;1;
Jebal Hossain Colony;;;;;;;;1;
Provat Babu Colony;;;;;;;;1;
Shuvas Babu Colony;;;;;;;;1;
Khaza Colony;;;;;;;;1;
Beauty o Shahed Colony;;;;;;;;1;
Chakma Colony;;;;;;;;1;
Liton Colony o Shamol Colony;;;;;;;;1;
Fazlu Colony;;;;;;;;1;
Barua Colony;;;;;;;;1;
Shofi Colony;;;;;;;;1;
Masjid Colony;;;;;;;;1;
Motinbod (A) Elaka;;;;;;;;1;
Doctor Colony;;;;;;;;1;
Motaher Colony;;;;;;;;1;
Roban Colony;;;;;;;;1;
Asina Colony;;;;;;;;1;
Noron Colony;;;;;;;;1;
Arif Colony;;;;;;;;1;
Ansar Colony;;;;;;;;1;
Aziz Colony;;;;;;;;1;
Ashrash Ali Roader Uttor Pash;;;;;;;;1;
Fulbagicha Colony;;;;;;;;1;
Rafiqe Colony;;;;;;;;1;
Nasir Colony;;;;;;;;1;
Ali Akbar Colony;;;;;;;;1;
Sorwar Colony;;;;;;;;1;
Selim Colony;;;;;;;;1;
Khan Shaheber Colony;;;;;;;;1;
Amin Sharifer Colony;;;;;;;;1;
Hossain Vaier Colony;;;;;;;;1;
Abu Taherer Colony;;;;;;;;1;
Foyej Ahmeder Colony;;;;;;;;1;
Hasinar Colony;;;;;;;;1;
Mostofar Colony;;;;;;;;1;
Mohammad Ali Colony;;;;;;;;1;
Amenar Colony;;;;;;;;1;
Jillu O Nur Colony;;;;;;;;1;
Bandari O Nasir Colony;;;;;;;;1;
Merajer Maa Colony;;;;;;;;1;
Hor Ronjoner Bari;;;;;;;;1;
Kali Bari;;;;;;;;1;
Monmohon Nibash;;;;;;;;1;
Brickfield By Lane;;;;;;;;1;
Jelepara;;;;;;;;1;
Yusuf Mia;;;;;;;;1;
Halimar Bari;;;;;;;;1;
Kali Bari;;;;;;;;1;
Lalu Sowdagor Colony;;;;;;;;1;
Jafar Sowdagorer Bari;;;;;;;;1;
Lalu Sowdagor Colony;;;;;;;;1;
Jafar Sowdagor Colony;;;;;;;;1;
Shoni Mandir;;;;;;;;1;
Bhokti Babur Colony;;;;;;;;1;
Amul/Golapdar Bari;;;;;;;;1;
Mona, Arun, Dasher Bari;;;;;;;;1;
Dulal/Anondo Dash Bari;;;;;;;;1;
Loknath Mandir;;;;;;;;1;
Shova-Rabindra Makhon Colony;;;;;;;;1;
Shitola Mandir;;;;;;;;1;
Abdul Malek;;;;;;;;1;
Kolabagicha Kali Mandir;;;;;;;;1;
Jongoilar Colony;;;;;;;;1;
Mohajon Bari;;;;;;;;1;
Bulbulir Maar Bari;;;;;;;;1;
Christian Para;;;;;;;;1;
Ali Hossainer Bari;;;;;;;;1;
Sultanar Bari;;;;;;;;1;
Contructor Colony;;;;;;;;1;
Brahmonpara;;;;;;;;1;
Susa Colony;;;;;;;;1;
Contructor Colony 1;;;;;;;;1;
Contructor Colony 3;;;;;;;;1;
Contructor Colony 2;;;;;;;;1;
Elias colony;;;;;;;;1;
Hazi colony;;;;;;;;1;
yusuf colony;;;;;;;;1;
Arbi colony;;;;;;;;1;
Yunus colony;;;;;;;;1;
Josim colony;;;;;;;;1;
Khokoner colony;;;;;;;;1;
Mamun colony;;;;;;;;1;
Mabia colony;;;;;;;;1;
Islamia colony;;;;;;;;1;
Ajjad colony;;;;;;;;1;
Anowar colony;;;;;;;;1;
Prokash khaler mokh;;;;;;;;1;
Salahuddin shaheb colony;;;;;;;;1;
Abdul khalek colony;;;;;;;;1;
Akther colony;;;;;;;;1;
Faruk shaheber colony;;;;;;;;1;
Muhammad miya colony;;;;;;;;1;
Jafor colony;;;;;;;;1;
Ajom khan o ayub colony;;;;;;;;1;
Abul colony;;;;;;;;1;
Kihokon o parveg colony;;;;;;;;1;
Azad colony;;;;;;;;1;
Dobai colony;;;;;;;;1;
Jom mahmuder colony;;;;;;;;1;
Mahfuza colony;;;;;;;;1;
Monab hazi colony;;;;;;;;1;
Kobir colony;;;;;;;;1;
Razea colony;;;;;;;;1;
Mohammad ali colony;;;;;;;;1;
Ayub alir colony;;;;;;;;1;
Abul colony;;;;;;;;1;
Shah amanot colony;;;;;;;;1;
Mahfuza-2 colony;;;;;;;;1;
Afsar colony;;;;;;;;1;
shamsur nahar colony;;;;;;;;1;
Khatchor Uttor Belr;;;;;;;;1;
Khatchor;;;;;;;;1;
Basto Hara;;;;;;;;1;
Noman College Road C.N.G Flot;;;;;;;;1;
Basto Hara Samnsu Colony;;;;;;;;1;
Basto Hara Mohobbot Nagar;;;;;;;;1;
Notun Brij Noyab Khan Colony;;;;;;;;1;
Beri Bad Poschim Para;;;;;;;;1;
Beri Badh;;;;;;;;1;
Sha Amanot Colony;;;;;;;;1;
Jerat Begum;;;;;;;;1;
Shek Muhammad Ar Bari;;;;;;;;1;
Sultan Driver Ar Bari;;;;;;;;1;
Taju Ahameder Bari;;;;;;;;1;
Usuf Miyar Bari;;;;;;;;1;
Vuiya Saheber Bari;;;;;;;;1;
Abdul Mannaner Bari;;;;;;;;1;
Abdul Salam;;;;;;;;1;
Rehana Mija Bari;;;;;;;;1;
Josem Saheber Bari;;;;;;;;1;
Musa Saheber Bari;;;;;;;;1;
Sultan Saheber Bari;;;;;;;;1;
Monju Saheber Bari;;;;;;;;1;
Condon Babur Bari;;;;;;;;1;
Sopfekur Ismayeler Bari;;;;;;;;1;
Md. Tepur Bari;;;;;;;;1;
Sahedul Alomer Bari;;;;;;;;1;
Soleman Saheber Bari;;;;;;;;1;
Husaen Muhammder Bari;;;;;;;;1;
Sofekul Alomer Bari;;;;;;;;1;
Soger Saheber Bari;;;;;;;;1;
