City;Ward;Match_ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Cumilla;7;10701005;11400701005;Ashoktola-1;Ashoktola Khan Bari Boshoty;9;25;50;3;4;4;3;1;1;4;4;4;3;4;4;4;4;4;4;55
Cumilla;7;10702001;11400702001;Ashoktola-2;Ashoktola Masjeed Goli Tota Miyar Bari;7;30;50;2;1;4;1;1;4;4;1;4;4;3;4;1;4;4;4;46
Cumilla;7;10702002;11400702002;Ashoktola-2;Ashoktola Masjeed Goli Boshoty;7;25;100;2;2;4;3;1;4;4;4;4;4;4;1;1;1;1;2;42
Cumilla;7;10702003;11400702003;Ashoktola-2;Ashoktola Khan Barir Boshoty;10;34;20;4;1;4;3;3;4;4;4;4;3;3;4;1;4;4;4;54
Cumilla;7;10702004;11400702004;Ashoktola-2;Ashoktola Late Monu Miyar Bari;5;19;300;4;1;4;3;1;1;4;4;3;4;4;4;1;4;4;4;50
Cumilla;7;10702005;11400702005;Ashoktola-2;Ashoktola Aham Alir Bari;8;30;300;4;1;4;3;3;1;4;4;4;3;4;4;1;4;1;2;47
Cumilla;7;10702006;11400702006;Ashoktola-2;Ashoktola Shekh Sadi Masjeed Ar Goli;5;25;50;4;3;4;3;1;1;4;4;4;4;3;4;1;4;4;4;52
Cumilla;7;10702007;11400702007;Ashoktola-2;Ashoktola Ripon Miyar Boshoty;10;30;15;4;2;4;4;1;4;4;4;4;4;4;1;1;1;1;2;45
Cumilla;7;10702008;11400702008;Ashoktola-2;Ashoktola Shohid Ullar Bari;5;23;25;4;1;4;3;1;1;4;4;4;4;4;4;1;1;1;2;43
Cumilla;7;10703001;11400703001;BSCIC;BSCIC Jola Rice Mill Ar Shamner Boshoty;14;75;18;2;3;4;1;4;2;1;2;4;2;2;1;1;1;1;3;34
