Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Joynal Driverer Bari;17778;Joynal Driverer Bari;14371;Old Jail Road;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.10096816499639, 22.877948735283155], [91.10088304834379, 22.877900567547663], [91.1009001971726, 22.87762798423689], [91.10098464952038, 22.877544943583086], [91.10105567457036, 22.87723613670287], [91.10131342367494, 22.877123712149498], [91.10152457335832, 22.877110771413317], [91.10164728008398, 22.87718901921501], [91.10152093405806, 22.877354806381952], [91.1014682144162, 22.8775344252001], [91.10147003623928, 22.877760270796045], [91.10129200557556, 22.87775433382426], [91.1012876908262, 22.877881071309016], [91.10096816499639, 22.877948735283155]]]}
Satani Pukur Par;17779;Satani Pukur Par;14371;Old Jail Road;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.10178270297352, 22.87680444917018], [91.10173205818903, 22.87659310733034], [91.10168026567489, 22.876401869633607], [91.10172982046772, 22.876079914584995], [91.10197432989365, 22.87605451592932], [91.10201708729026, 22.87650481608824], [91.10202262997757, 22.876607861006143], [91.10178270297352, 22.87680444917018]]]}
Jakidar Bari;17780;Jakidar Bari;14371;Old Jail Road;8352;2;100;1;{'type': 'Polygon', 'coordinates': [[[91.10056667416052, 22.8749212973814], [91.10057490832196, 22.874982903820957], [91.1005537220352, 22.875007120013695], [91.10052501930818, 22.875013915000363], [91.10048706688657, 22.875029399943177], [91.10048369928838, 22.875187644120437], [91.10034121369213, 22.875271086003387], [91.10007437421544, 22.875287271754637], [91.09989649016617, 22.875299257838307], [91.09979953658707, 22.875271247660677], [91.09974366857851, 22.875060115475076], [91.09975042427676, 22.87493817625079], [91.09980799654915, 22.874880417765294], [91.09975605506484, 22.874676428353148], [91.0996825166757, 22.87467335095334], [91.09967598640633, 22.874502986839662], [91.09965884809512, 22.874168499291994], [91.10056667416052, 22.8749212973814]]]}
Fojal Haji Bari;17781;Fojal Haji Bari;14390;North Fakirpur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.09094926150185, 22.860152157418867], [91.09023798949379, 22.86015703218919], [91.09011951994009, 22.859176381518278], [91.09100418287011, 22.85911172342624], [91.09094926150185, 22.860152157418867]]]}
Mollah Bari;17782;Mollah Bari;14390;North Fakirpur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.09016518452565, 22.858956336086923], [91.09014926068753, 22.858941798140258], [91.09036423379001, 22.858149294250182], [91.09082330366914, 22.858234041222808], [91.09086064329425, 22.85895157024128], [91.09016518452565, 22.858956336086923]]]}
Dewan Alir Bari;17783;Dewan Alir Bari;14390;North Fakirpur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.09383437363557, 22.857816126449976], [91.09396232279695, 22.85602810491041], [91.09489602227484, 22.856168172395392], [91.09479852379408, 22.857809496520364], [91.09383449084923, 22.85783077266777], [91.09383437363557, 22.857816126449976]]]}
Meher Ali Constable Bari;17784;Meher Ali Constable Bari;14390;North Fakirpur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.09131527253797, 22.85847969665002], [91.09129969949964, 22.858509100216764], [91.0912147052297, 22.85776259952403], [91.09238479971083, 22.857813166389096], [91.09232731243559, 22.858531348459955], [91.09150622812797, 22.8586395224078], [91.09148936931025, 22.858507799414532], [91.09131527253797, 22.85847969665002]]]}
Badhsha Miyar Bari;17785;Badhsha Miyar Bari;14390;North Fakirpur;8354;4;100;1;{'type': 'MultiPolygon', 'coordinates': [[[[91.09147601231635, 22.858739997137683], [91.0914752010393, 22.85871297940153], [91.09149124099234, 22.858742165252142], [91.09147601231635, 22.858739997137683]]], [[[91.09147601231635, 22.858739997137683], [91.09149673921368, 22.859430616496436], [91.09102232857113, 22.859404573050586], [91.09100067497732, 22.858672285956136], [91.09147601231635, 22.858739997137683]]]]}
Sabid Contructor Bari;17786;Sabid Contructor Bari;14390;North Fakirpur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.09162000076505, 22.859718410690594], [91.09162011775229, 22.859733056915744], [91.0914851299743, 22.858664629614054], [91.09275006623703, 22.85871454300159], [91.09275252569341, 22.85902214887111], [91.09300530212663, 22.859005764048806], [91.09297896251503, 22.85966513689945], [91.09162000076505, 22.859718410690594]]]}
Ali Hafez Bari;17787;Ali Hafez Bari;14390;North Fakirpur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.09312059337034, 22.85936604071569], [91.09314670092454, 22.858677373580452], [91.09460236013516, 22.85885779958863], [91.09457626384771, 22.859546468443018], [91.09435474505368, 22.859518693449523], [91.09392786747811, 22.85950697972513], [91.09368972418477, 22.859376779901325], [91.0934048653099, 22.85933479005648], [91.09312059337034, 22.85936604071569]]]}
Sultan Miyar Bari;17788;Sultan Miyar Bari;14390;North Fakirpur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.0931787802509, 22.860533043463864], [91.09317870253997, 22.86052332869452], [91.09311936902786, 22.85965902909451], [91.09394771243137, 22.859672769164426], [91.09380809786502, 22.8605675836695], [91.0931787802509, 22.860533043463864]]]}
Misir Ali Saudagor Bari;17789;Misir Ali Saudagor Bari;14390;North Fakirpur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.09542926158153, 22.85499193051544], [91.09568621306255, 22.85497614691702], [91.09612000834463, 22.854962440535996], [91.09613743123485, 22.854723336492153], [91.09616148749541, 22.854438961241783], [91.09664077232361, 22.854420070004156], [91.0966158296099, 22.856538289554056], [91.09522196312493, 22.856596467256974], [91.09541885696456, 22.85500171652919], [91.09542926158153, 22.85499193051544]]]}
Ator Ali Miaher Bari;17790;Ator Ali Miaher Bari;14349;West Krishnarampur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.08452897548092, 22.871022221053273], [91.08452027781327, 22.869926765215375], [91.08506517462108, 22.869980708037755], [91.08490207962726, 22.87099084700303], [91.08452897548092, 22.871022221053273]]]}
Chan Miah Sardar Bari;17791;Chan Miah Sardar Bari;14349;West Krishnarampur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.08604781810739, 22.86807120798841], [91.08606071840713, 22.867094508057157], [91.08669105309824, 22.867099779003272], [91.08670862047084, 22.868009248094108], [91.08606848295105, 22.868071066911167], [91.08604781810739, 22.86807120798841]]]}
Methor Quatar;17792;Methor Quatar;14349;West Krishnarampur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.08753886196506, 22.86586843409146], [91.08914859474886, 22.865598908047513], [91.08918310140716, 22.866039104145425], [91.08751121939078, 22.866289906723708], [91.08754927042456, 22.8658779373452], [91.08753886196506, 22.86586843409146]]]}
Meher Baper Bari;17793;Meher Baper Bari;14349;West Krishnarampur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.08770867122665, 22.866432175637545], [91.08850332471106, 22.866311846057858], [91.08844137440826, 22.867614418127385], [91.08781134252985, 22.867647450633463], [91.08771907974939, 22.866441679780593], [91.08770867122665, 22.866432175637545]]]}
