Ward;Mahalla Name;Settlement Name;Match ID
6;Chabbis Hazari Adorshopara/ Dolapara;Alsiyar Mor;10604005
6;Chabbis Hazari Adorshopara/ Dolapara;Alsiyar Mor;10604006
6;Chabbis Hazari Adorshopara/ Dolapara;Late. Bokk Munshi Barir Uttor Pashe;10604007
6;Bahadur Singh;Saju Mistry/ Cot Para;10605001
6;Bahadur Singh;Chukhur Barir Pichon Poschim Pashe;10605002
6;Bahadur Singh;Lal Mithu Bari Master Para;10605003
6;Moddho Kobaru;Lichu Bagan Ar Boshoty;10606001
6;Moddho Kobaru;Kalu Bari Boshoty;10606002
6;Moddho Kobaru;Jalil Bari;10606003
6;Goyalbari/Ameshor/Uttor Kobaru;Ajijul Sarkar/ Hindu Para;10607001
6;Goyalbari/Ameshor/Uttor Kobaru;Sultan Bari;10607002
6;Goyalbari/Ameshor/Uttor Kobaru;Boshir Master Bari;10607003
6;Goyalbari/Ameshor/Uttor Kobaru;Anisul Bari;10607004
6;Goyalbari/Ameshor/Uttor Kobaru;Alfoj Bari;10607005
6;Goyalbari/Ameshor/Uttor Kobaru;Ahamal Bari;10607006
6;Goyalbari/Ameshor/Uttor Kobaru;Mojnu Miya;10607007
6;Goyalbari/Ameshor/Uttor Kobaru;Enamul Haq;10607008
6;Uttor Bahadur Singh;Fokirapara/ Muktarer Barir Pashe;10608001
6;Uttor Bahadur Singh;Ahadul Barir Pashe;10608002
6;Moddho Bahadur Singh;Nurul Haq Dealer;10609001
6;Moddho Bahadur Singh;Foridul Islam Bari;10609002
6;Moddho Bahadur Singh;Abdullah Master Bari;10609003
7;Gulal Badhai;Banger Chowra Boshoty;10701001
7;Gulal Badhai;Gulal Budhai Digol Tary Boshoty;10701002
7;Gulal Badhai;Gulal Budhai Aka Tary Boshoty;10701003
7;Gulal Badhai;Jom Chowra Noya Tary Boshoty;10701004
7;Badhai;Kamarer Da Boshoty;10702001
7;Badhai;Noya Bazar Boshoty;10702002
7;Badhai;Budhai Babu Tary Boshoty;10702003
7;Badhai;Budhai Noya Bazar;10702004
7;Badhai;Budhai Mowlavi Para Boshoty;10702005
7;Benughat;Benghat Dokhin Para Boshoty;10703001
7;Benughat;Digrpara Uttonpar Boshoty;10703002
7;Benughat;Chowrahat Dokhin Para Boshoty;10703003
7;Benughat;Chowrahat Boshoty-1;10703004
7;Benughat;Chowrahat Boshoty-2;10703005
7;Benughat;Benugat Purbo Para;10703006
7;Boksa;Boksa Dorgarpar;10704001
7;Boksa;Boksa Jame Masjeed Boshoty;10704002
7;Horirammol;Horiram Mol Purbopara Boshoty;10705001
7;Horirammol;Horiram Mol Boshoty;10705002
7;Topodhon;Topodhon Hori  Mondir Boshoty;10706001
7;Moynakuthi;Moyna Kuthi;10707001
7;Moynakuthi;Moyna Kuthi Purbopara;10707002
7;Dalalipara;Dalali Para Uttor Para Boshoty;10708001
7;Koipara;Koipara Colony Boshoty;10709001
7;Koipara;Molati Tary Boshoty;10709002
7;Koipara;Budai Mowlavi Para Boshoty;10709003
8;Karthik (North);Moddho Karthik;10801001
8;Karthik (North);Kesamat Monse Para;10801002
8;Karthik (North);Cort Karthik;10801003
8;Karthik (North);Kesamat Poschim Para;10801004
8;Karthik (North);Karthik Kharia Tary;10801005
8;Karthik (South);Atharo Dhon Nama Tary;10802001
8;Karthik (South);Atharo Dhon;10802002
8;Karthik (South);Atharo Dhon Uttor Tary;10802003
8;Karthik (South);Karthik Pat-2, Sarkar Tary;10802004
8;Karthik (South);Dokkhin Karthik Poschim;10802005
8;Karthik (South);Azizul School Dokkhin Karthik;10802006
8;Karthik (South);Dokkhin Karthik Rengoler Math;10802007
8;Chand Khuti;Atharo Dhon Purbo Para;10803001
8;Chand Khuti;Atharo Dhon;10803002
8;Chand Khuti;Teli Tary;10803003
8;Chand Khuti;Shad Bazar (Dokkhin Anso);10803004
8;Chand Khuti;Teli Tary;10803005
8;Chand Khuti;Anech Tary, Doctor Para;10803006
8;Chand Khuti;Sarkar Para;10803007
8;Chand Khuti;Chad Kuti Purbo Para, 42 Dhon;10803008
8;Chand Khuti;Guccho Gram;10803009
8;Chand Khuti;Chand Kuti School Para;10803010
8;Chand Khuti;Chand Kuti Moddho Para;10803011
8;Chand Khuti;Poschim Para;10803012
8;Babhu Kamal;Badhu Kamola Poschim Para;10804001
8;Babhu Kamal;Vatia Para;10804002
8;Babhu Kamal;Badhu Kamola Bosty;10804003
8;Babhu Kamal;Sha Para;10804004
8;Babhu Kamal;Sha Para (Poschim Para);10804005
8;Arazi;Purbo Para;10805001
8;Arazi;Poschim Para;10805002
8;Arazi;Mowlove Para;10805003
8;Mahabbat Khan;Sit Mahabat Kha Boshoty;10806001
8;Mahabbat Khan;Purbo Para Boshoty;10806002
8;Mahabbat Khan;Monde Para Boshoty;10806003
8;Mahabbat Khan (Umar Kuti);Tan Para Boshoty;10807001
8;Khalisha Kuri-1;Taly Tary Boshoty;10808002
9;Kisamat Para;Monur Para (Alu);10901001
9;Kisamat Para;Bangkar Monu;10901002
9;Kisamat Para;Sahapara Motheber Para;10901003
9;Kisamat Para;Sahapara Jagitary;10901004
9;Kisamat Para;Bahar Kasna Mozid Market;10901005
9;Kisamat Para;Mudi Khana;10901006
9;Kisamat Para;Shahpara Mosjider Para;10901007
9;Jummatari;Teli Para Uttor Masjeedir Pashe;10902001
9;Jummatari;Teli Para Khas Math;10902002
9;Jummatari;New Master Para;10902003
9;Jummatari;Hazir Khamar;10902004
9;Jummatari;Councilor Office Ar Pichone (Daway Tary);10902005
9;Jummatari;Teli Para Poschim Pashe;10902006
9;Jummatari;Teli Para Dokkhin Pashe;10902007
9;Ramgobindratari;Kali Mandir;10903001
9;Ramgobindratari;Hindu Para Poschim;10903002
9;Ramgobindratari;Tepa Tary;10903003
