City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Dhaka South City Corporation;51;1235102003;;West Dholaipar & Nurani Mosque Area;Wajider Bosti;8;35;20;4;1;4;4;1;1;4;3;2;3;4;4;4;3;4;4;50
Dhaka South City Corporation;51;1235102004;;West Dholaipar & Nurani Mosque Area;Nannu Miyar Bari;12;35;10;4;2;4;4;4;2;4;1;4;1;4;4;4;4;1;1;48
Dhaka South City Corporation;51;1235102005;;West Dholaipar & Nurani Mosque Area;Moni Miar Bari;11;58;20;1;1;4;4;1;2;1;4;4;1;1;4;4;4;4;3;43
Dhaka South City Corporation;51;1235102006;;West Dholaipar & Nurani Mosque Area;Shohid Miar Bari;10;40;22;4;1;4;4;4;3;1;4;3;3;3;4;4;4;3;3;52
Dhaka South City Corporation;51;1235102007;;West Dholaipar & Nurani Mosque Area;Afrojar Bari;13;51;26;4;1;4;4;3;3;4;4;4;2;3;4;4;2;4;3;53
Dhaka South City Corporation;51;1235102008;;West Dholaipar & Nurani Mosque Area;Juktibadi Goli- Jebar Bari;18;80;20;3;4;4;4;1;4;4;1;1;4;4;4;4;4;1;3;50
Dhaka South City Corporation;51;1235102009;;West Dholaipar & Nurani Mosque Area;Moniner Bari;10;50;23;4;2;3;4;4;1;1;4;4;1;4;1;2;1;1;2;39
Dhaka South City Corporation;51;1235102010;;West Dholaipar & Nurani Mosque Area;Toajel Miar Bari;18;80;18;3;3;4;4;3;1;1;4;3;1;1;4;1;1;4;4;42
Dhaka South City Corporation;51;1235102011;;West Dholaipar & Nurani Mosque Area;Momotaj Bari;11;58;26;4;4;4;4;1;1;4;4;2;1;4;4;4;1;1;1;44
Dhaka South City Corporation;51;1235102012;;West Dholaipar & Nurani Mosque Area;Mir Hazirbag Shafiqnagar;15;80;13;4;4;4;4;1;1;4;4;1;2;4;1;1;1;1;1;38
Dhaka South City Corporation;51;1235102013;;West Dholaipar & Nurani Mosque Area;Mujahid Bari;13;30;22;4;3;4;4;4;4;4;4;4;2;4;4;4;3;4;1;57
Dhaka South City Corporation;51;1235102014;;West Dholaipar & Nurani Mosque Area;Rafiq Miar Bari;9;40;23;4;2;4;2;4;4;4;4;4;1;4;4;4;3;4;1;53
Dhaka South City Corporation;51;1235103001;;Councilor Office Area;Rahim Miar Bari;18;80;24;3;1;4;4;1;1;4;4;3;1;4;4;1;2;1;1;39
Dhaka South City Corporation;51;1235103002;;Councilor Office Area;Mir Hazirbag Vitabari;28;102;25;4;4;4;4;2;4;4;1;3;2;4;4;4;1;1;1;47
Dhaka South City Corporation;51;1235103003;;Councilor Office Area;Johir Miar Bari;20;70;20;4;1;4;4;2;2;4;4;3;2;4;4;4;4;4;1;51
Dhaka South City Corporation;51;1235103004;;Councilor Office Area;Monir Miar Bari;25;80;25;2;1;4;2;2;4;4;4;3;1;4;4;4;4;4;1;48
Dhaka South City Corporation;51;1235103005;;Councilor Office Area;A. Maleker Bari;13;50;25;1;1;4;4;2;4;1;4;3;2;4;4;4;4;4;4;50
Dhaka South City Corporation;51;1235103006;;Councilor Office Area;Swapon Miar Bari;13;50;25;2;1;4;4;2;3;4;4;3;2;4;4;4;4;4;1;50
Dhaka South City Corporation;51;1235103007;;Councilor Office Area;114 No. Darogar Bari;10;70;18;1;4;4;4;1;4;4;1;3;4;2;4;1;1;4;4;46
Dhaka South City Corporation;51;1235103008;;Councilor Office Area;Namar Bari;40;180;20;1;1;4;4;4;4;4;1;4;4;3;1;2;1;1;1;40
Dhaka South City Corporation;51;1235103009;;Councilor Office Area;Motimiar Bari;20;80;25;4;4;4;4;3;2;4;4;3;1;3;4;4;4;1;1;50
Dhaka South City Corporation;51;1235103010;;Councilor Office Area;Alauddin Miar Bari;30;120;70;4;3;4;4;3;3;4;4;3;3;4;4;4;4;1;1;53
Dhaka South City Corporation;51;1235103011;;Councilor Office Area;Faruk Hazir Bari;8;35;26;4;4;4;4;3;4;4;2;4;1;3;4;4;4;1;1;51
Dhaka South City Corporation;51;1235104001;;Par Gendaria & Mollapara;Hazi Bari;130;580;34;1;2;4;4;3;2;2;3;4;3;3;4;2;4;1;3;45
Dhaka South City Corporation;51;1235104002;;Par Gendaria & Mollapara;Goru Molla Bari;55;215;28;1;1;4;4;3;2;2;2;2;2;3;4;2;4;1;1;38
Dhaka South City Corporation;51;1235104003;;Par Gendaria & Mollapara;Majed Miar Bari;90;400;32;1;2;4;4;4;3;2;2;3;3;3;3;2;4;4;4;48
Dhaka South City Corporation;51;1235104004;;Par Gendaria & Mollapara;Swapon Miar Bari;80;360;37;1;3;4;4;4;3;3;3;4;4;3;4;1;4;1;3;49
Dhaka South City Corporation;51;1235104005;;Par Gendaria & Mollapara;Choap Miar Bari;140;620;39;1;1;4;3;3;2;3;3;3;3;2;3;1;4;1;3;40
Dhaka South City Corporation;51;1235104006;;Par Gendaria & Mollapara;Kayum er Bari;70;310;27;1;4;4;4;3;3;4;3;4;4;3;4;1;4;1;3;50
Dhaka South City Corporation;51;1235104007;;Par Gendaria & Mollapara;Milon Hazir Bari;92;390;25;1;4;4;4;3;3;4;4;3;4;3;4;2;4;1;3;51
Dhaka South City Corporation;52;1235201001;;Uttar Muradpur 1 no. Unit;Kholilur Rahman;60;300;35;4;4;4;4;4;4;4;4;3;2;4;4;4;4;1;2;56
Dhaka South City Corporation;52;1235201002;;Uttar Muradpur 1 no. Unit;Hazi Lal Mia Sorker Road Bagicha;50;200;20;3;3;4;4;4;3;4;3;3;3;4;4;3;4;4;4;57
Dhaka South City Corporation;52;1235201003;;Uttar Muradpur 1 no. Unit;Around Al Aksa Mosque;70;350;20;1;3;4;2;3;4;4;4;3;3;4;3;4;4;1;2;49
Dhaka South City Corporation;52;1235202001;;Muradpur High School 2 no. Unit;Chaiduler Bosti;15;75;35;3;3;4;4;2;3;4;4;2;2;4;4;4;4;1;2;50
Dhaka South City Corporation;52;1235204001;;Somirunnesa High School Vobani Bagicha 4 no. Unit;Vobani Bagicha;80;320;50;4;4;4;4;3;3;4;4;1;2;3;3;3;4;4;2;52
Dhaka South City Corporation;53;1235301001;;Jurain Medical Road and Islamabad(risipara);Islamabad(Risipara);650;3300;42;3;4;4;3;2;3;4;3;2;3;2;3;2;3;4;4;49
Dhaka South City Corporation;53;1235301002;;Jurain Medical Road and Islamabad(risipara);Hazi Khorshed Ali Road (North Side);625;3100;40;3;2;4;2;3;4;4;2;1;2;3;4;4;4;3;2;47
Dhaka South City Corporation;53;1235301003;;Jurain Medical Road and Islamabad(risipara);Ram Lokkhon Temple;1000;6000;45;2;3;4;2;4;3;3;2;2;3;3;2;3;2;4;2;44
Dhaka South City Corporation;53;1235302001;;Pukurpar Fazil Sordar Road, Muradpur High School Road 1-46 no. House, Kusumbag;Khalpar er Right Side;750;4000;44;2;1;4;2;3;3;4;2;3;2;3;3;3;3;4;2;44
Dhaka South City Corporation;53;1235302002;;Pukurpar Fazil Sordar Road, Muradpur High School Road 1-46 no. House, Kusumbag;Kusumbag Mosque(North-East Side);720;3400;42;2;3;4;2;3;4;3;2;4;3;3;4;3;2;3;2;47
Dhaka South City Corporation;53;1235303001;;Khaja Mahabub Ali Sorok, Eidgah Mosjid Road, Nobinbag;Nobinbag(North-East Side);700;4200;30;3;4;4;2;2;4;4;3;3;3;3;2;4;4;1;2;48
Dhaka South City Corporation;53;1235303002;;Khaja Mahabub Ali Sorok, Eidgah Mosjid Road, Nobinbag;Bakerer Barir Side;700;3500;38;2;3;4;2;2;4;4;2;2;3;3;2;3;3;3;2;44
